	x		j1(2x)	j1'(2x) analyt.	j1'(2x) finite	j1''(2x) analyt.	j1''(2x) finite
      1.00	      0.58	     -0.13	     -0.14	     -1.60	     -1.60
      1.01	      0.58	     -0.14	     -0.15	     -1.59	     -1.59
      1.02	      0.57	     -0.16	     -0.17	     -1.59	     -1.59
      1.03	      0.57	     -0.18	     -0.18	     -1.58	     -1.58
      1.04	      0.57	     -0.19	     -0.20	     -1.57	     -1.57
      1.05	      0.57	     -0.21	     -0.22	     -1.56	     -1.56
      1.06	      0.57	     -0.22	     -0.23	     -1.55	     -1.55
      1.07	      0.56	     -0.24	     -0.25	     -1.54	     -1.54
      1.08	      0.56	     -0.25	     -0.26	     -1.53	     -1.53
      1.09	      0.56	     -0.27	     -0.28	     -1.52	     -1.52
      1.10	      0.56	     -0.28	     -0.29	     -1.51	     -1.51
      1.11	      0.55	     -0.30	     -0.31	     -1.49	     -1.49
      1.12	      0.55	     -0.31	     -0.32	     -1.48	     -1.48
      1.13	      0.55	     -0.33	     -0.34	     -1.47	     -1.47
      1.14	      0.54	     -0.34	     -0.35	     -1.45	     -1.45
      1.15	      0.54	     -0.36	     -0.37	     -1.44	     -1.44
      1.16	      0.54	     -0.37	     -0.38	     -1.43	     -1.43
      1.17	      0.53	     -0.39	     -0.39	     -1.41	     -1.41
      1.18	      0.53	     -0.40	     -0.41	     -1.39	     -1.39
      1.19	      0.52	     -0.41	     -0.42	     -1.38	     -1.38
      1.20	      0.52	     -0.43	     -0.44	     -1.36	     -1.36
      1.21	      0.52	     -0.44	     -0.45	     -1.35	     -1.35
      1.22	      0.51	     -0.46	     -0.46	     -1.33	     -1.33
      1.23	      0.51	     -0.47	     -0.48	     -1.31	     -1.31
      1.24	      0.50	     -0.48	     -0.49	     -1.29	     -1.29
      1.25	      0.50	     -0.49	     -0.50	     -1.27	     -1.27
      1.26	      0.49	     -0.51	     -0.51	     -1.26	     -1.26
      1.27	      0.49	     -0.52	     -0.53	     -1.24	     -1.24
      1.28	      0.48	     -0.53	     -0.54	     -1.22	     -1.22
      1.29	      0.48	     -0.54	     -0.55	     -1.20	     -1.20
      1.30	      0.47	     -0.56	     -0.56	     -1.18	     -1.18
      1.31	      0.47	     -0.57	     -0.57	     -1.16	     -1.16
      1.32	      0.46	     -0.58	     -0.58	     -1.14	     -1.14
      1.33	      0.45	     -0.59	     -0.60	     -1.11	     -1.11
      1.34	      0.45	     -0.60	     -0.61	     -1.09	     -1.09
      1.35	      0.44	     -0.61	     -0.62	     -1.07	     -1.07
      1.36	      0.44	     -0.62	     -0.63	     -1.05	     -1.05
      1.37	      0.43	     -0.63	     -0.64	     -1.03	     -1.03
      1.38	      0.42	     -0.64	     -0.65	     -1.00	     -1.00
      1.39	      0.42	     -0.65	     -0.66	     -0.98	     -0.98
      1.40	      0.41	     -0.66	     -0.67	     -0.96	     -0.96
      1.41	      0.40	     -0.67	     -0.68	     -0.93	     -0.93
      1.42	      0.40	     -0.68	     -0.69	     -0.91	     -0.91
      1.43	      0.39	     -0.69	     -0.69	     -0.88	     -0.88
      1.44	      0.38	     -0.70	     -0.70	     -0.86	     -0.86
      1.45	      0.38	     -0.71	     -0.71	     -0.84	     -0.84
      1.46	      0.37	     -0.72	     -0.72	     -0.81	     -0.81
      1.47	      0.36	     -0.72	     -0.73	     -0.78	     -0.78
      1.48	      0.35	     -0.73	     -0.74	     -0.76	     -0.76
      1.49	      0.35	     -0.74	     -0.74	     -0.73	     -0.73
      1.50	      0.34	     -0.75	     -0.75	     -0.71	     -0.71
      1.51	      0.33	     -0.75	     -0.76	     -0.68	     -0.68
      1.52	      0.32	     -0.76	     -0.76	     -0.66	     -0.66
      1.53	      0.32	     -0.77	     -0.77	     -0.63	     -0.63
      1.54	      0.31	     -0.77	     -0.78	     -0.60	     -0.60
      1.55	      0.30	     -0.78	     -0.78	     -0.58	     -0.58
      1.56	      0.29	     -0.78	     -0.79	     -0.55	     -0.55
      1.57	      0.29	     -0.79	     -0.79	     -0.52	     -0.52
      1.58	      0.28	     -0.79	     -0.80	     -0.50	     -0.50
      1.59	      0.27	     -0.80	     -0.80	     -0.47	     -0.47
      1.60	      0.26	     -0.80	     -0.81	     -0.44	     -0.44
      1.61	      0.25	     -0.81	     -0.81	     -0.41	     -0.41
      1.62	      0.25	     -0.81	     -0.81	     -0.39	     -0.39
      1.63	      0.24	     -0.82	     -0.82	     -0.36	     -0.36
      1.64	      0.23	     -0.82	     -0.82	     -0.33	     -0.33
      1.65	      0.22	     -0.82	     -0.82	     -0.30	     -0.30
      1.66	      0.21	     -0.83	     -0.83	     -0.28	     -0.28
      1.67	      0.20	     -0.83	     -0.83	     -0.25	     -0.25
      1.68	      0.20	     -0.83	     -0.83	     -0.22	     -0.22
      1.69	      0.19	     -0.83	     -0.83	     -0.19	     -0.19
      1.70	      0.18	     -0.83	     -0.83	     -0.16	     -0.16
      1.71	      0.17	     -0.84	     -0.84	     -0.14	     -0.14
      1.72	      0.16	     -0.84	     -0.84	     -0.11	     -0.11
      1.73	      0.15	     -0.84	     -0.84	     -0.08	     -0.08
      1.74	      0.15	     -0.84	     -0.84	     -0.05	     -0.05
      1.75	      0.14	     -0.84	     -0.84	     -0.03	     -0.03
      1.76	      0.13	     -0.84	     -0.84	      0.00	      0.00
      1.77	      0.12	     -0.84	     -0.84	      0.03	      0.03
      1.78	      0.11	     -0.84	     -0.84	      0.06	      0.06
      1.79	      0.10	     -0.84	     -0.84	      0.08	      0.08
      1.80	      0.10	     -0.84	     -0.84	      0.11	      0.11
      1.81	      0.09	     -0.84	     -0.83	      0.14	      0.14
      1.82	      0.08	     -0.83	     -0.83	      0.17	      0.17
      1.83	      0.07	     -0.83	     -0.83	      0.19	      0.19
      1.84	      0.06	     -0.83	     -0.83	      0.22	      0.22
      1.85	      0.05	     -0.83	     -0.83	      0.25	      0.25
      1.86	      0.05	     -0.82	     -0.82	      0.27	      0.27
      1.87	      0.04	     -0.82	     -0.82	      0.30	      0.30
      1.88	      0.03	     -0.82	     -0.82	      0.33	      0.33
      1.89	      0.02	     -0.82	     -0.81	      0.35	      0.35
      1.90	      0.01	     -0.81	     -0.81	      0.38	      0.38
      1.91	      0.00	     -0.81	     -0.81	      0.41	      0.41
      1.92	     -0.00	     -0.80	     -0.80	      0.43	      0.43
      1.93	     -0.01	     -0.80	     -0.80	      0.46	      0.46
      1.94	     -0.02	     -0.79	     -0.79	      0.48	      0.48
      1.95	     -0.03	     -0.79	     -0.79	      0.51	      0.51
      1.96	     -0.04	     -0.78	     -0.78	      0.53	      0.53
      1.97	     -0.04	     -0.78	     -0.78	      0.56	      0.56
      1.98	     -0.05	     -0.77	     -0.77	      0.58	      0.58
      1.99	     -0.06	     -0.77	     -0.76	      0.60	      0.60
      2.00	     -0.07	     -0.76	     -0.76	      0.63	      0.63
      2.01	     -0.07	     -0.75	     -0.75	      0.65	      0.65
      2.02	     -0.08	     -0.75	     -0.74	      0.68	      0.68
      2.03	     -0.09	     -0.74	     -0.74	      0.70	      0.70
      2.04	     -0.10	     -0.73	     -0.73	      0.72	      0.72
      2.05	     -0.10	     -0.73	     -0.72	      0.74	      0.74
      2.06	     -0.11	     -0.72	     -0.72	      0.77	      0.77
      2.07	     -0.12	     -0.71	     -0.71	      0.79	      0.79
      2.08	     -0.12	     -0.70	     -0.70	      0.81	      0.81
      2.09	     -0.13	     -0.70	     -0.69	      0.83	      0.83
      2.10	     -0.14	     -0.69	     -0.68	      0.85	      0.85
      2.11	     -0.15	     -0.68	     -0.67	      0.87	      0.87
      2.12	     -0.15	     -0.67	     -0.67	      0.89	      0.89
      2.13	     -0.16	     -0.66	     -0.66	      0.91	      0.91
      2.14	     -0.17	     -0.65	     -0.65	      0.93	      0.93
      2.15	     -0.17	     -0.64	     -0.64	      0.95	      0.95
      2.16	     -0.18	     -0.63	     -0.63	      0.97	      0.97
      2.17	     -0.18	     -0.62	     -0.62	      0.99	      0.99
      2.18	     -0.19	     -0.61	     -0.61	      1.00	      1.00
      2.19	     -0.20	     -0.60	     -0.60	      1.02	      1.02
      2.20	     -0.20	     -0.59	     -0.59	      1.04	      1.04
      2.21	     -0.21	     -0.58	     -0.58	      1.06	      1.06
